名称,稀有度,价格,用途,介绍,获取途径,标签,食物系列,好感,好感翻倍角色,每好感花费,,
莓莓四重奏,蓝,480,为当前角色恢复1150点生命值，并在之后的30秒内，每5秒恢复299点生命值。,草莓、蓝莓、覆盆子和黑莓的组合，仿佛置身清晨的林间，采撷灌木丛中散落的晨星，擦去昨夜的落霜，品尝它们的酸甜青涩。,"Felicità Gelato冰淇淋店(桥间地)
碎雪冰淇淋店(绘空町)
Felicità Gelato冰淇淋店(米格尔区)
Felicità Gelato冰淇淋店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性、持续",冰淇淋店,50,,9.6,,
坚果焦糖爆爆杯,蓝,480,为当前角色恢复生命值上限的16%，并额外回复1150点生命值。,焦糖与香脆坚果在舌尖上跳跃，好似徜徉在庆祝丰收的金秋盛宴之中。谁此时计算卡路里，就让他永远孤独！,"Felicità Gelato冰淇淋店(桥间地)
碎雪冰淇淋店(绘空町)
Felicità Gelato冰淇淋店(米格尔区)
Felicità Gelato冰淇淋店(新赫兰德区)","食物、礼物、可购买
生命、百分比、数值、混合、单体、一次性",冰淇淋店,50,,9.6,,
猫丸秘制豆乳拉面,紫,600,为当前角色恢复2200点生命值，并在之后的30秒内，每5秒回复182点生命值。,汤清味鲜、筋道弹牙的拉面，令人食欲大振！汤底以豆浆为基础，加入昆布和松茸慢火熬制，佐以手工制作的油炸豆皮，豆香浓郁，不容错过！,"猫丸拉面店(桥间地)
猫丸拉面店(绘空町)
猫丸拉面店(米格尔区)
猫丸拉面店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性、持续",猫丸拉面店,50,白藏,12,,
猫丸秘制辛红拉面,紫,600,为当前角色恢复生命值上限的30%，并额外回复700点生命值,鸡汤混合香味辣油、特制辣味噌、多种辣椒和新鲜辣椒酱，汤色呈鲜红色，再佐以浅浅炙烤过的超大青色辣椒，光是看一眼都让人冒汗的地狱拉面！,"猫丸拉面店(桥间地)
猫丸拉面店(绘空町)
猫丸拉面店(米格尔区)
猫丸拉面店(新赫兰德区)","食物、礼物、可购买
生命、百分比、数值、混合、单体、一次性",猫丸拉面店,50,娜娜莉,12,,
猫丸秘制豚骨拉面,蓝,480,为当前角色恢复生命值上限的24%，并在之后的30秒内，每5秒恢复143点生命值。,长时间熬煮的浓郁汤头，超大块厚切的叉烧肉软嫩入味，再佐以海苔、溏心蛋和笋干，是猫丸师傅最为自满的招牌拉面！,"猫丸拉面店(桥间地)
猫丸拉面店(绘空町)
猫丸拉面店(米格尔区)
猫丸拉面店(新赫兰德区)","食物、礼物、可购买
生命、百分比、数值、混合、单体、一次性、持续",猫丸拉面店,50,,9.6,,
猫丸秘制鸡白汤拉面,蓝,480,为当前角色恢复生命值上限的24%，并在之后的30秒内，每5秒恢复143点生命值。,用洋葱激发出鸡肉的鲜甜，汤底浓郁不腻口。马铃薯泥、奶油、白胡椒碎搅打制成奶泡。再佐以溏心蛋与超细的金黄马铃薯丝，味道绝赞！,"猫丸拉面店(桥间地)
猫丸拉面店(绘空町)
猫丸拉面店(米格尔区)
猫丸拉面店(新赫兰德区)","食物、礼物、可购买
生命、百分比、数值、混合、单体、一次性、持续",猫丸拉面店,50,,9.6,,
经典三重奏,紫,660,为当前角色恢复3250点生命值。,经典的三重奏：番茄酱、新鲜奶酪和罗勒叶。红番茄酱打底，奶白色的奶酪和翠绿的罗勒叶点缀其上，再撒点盐和淋上橄榄油。是最经典的披萨。,"玛雷尼披萨餐厅(桥间地)
玛雷尼披萨餐厅(米格尔区)
玛雷尼披萨餐厅(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性",玛雷尼披萨餐厅,50,法帝娅,13.2,,
浓香火腿披萨,紫,660,为当前角色恢复3250点生命值。,醇香的奶酪，粉嫩的火腿薄片，微酸的番茄酱，再点缀上樱桃番茄和脆嫩的芝麻菜与罗勒叶。用料十足，色彩饱满，是本店的人气披萨。,"玛雷尼披萨餐厅(桥间地)
玛雷尼披萨餐厅(米格尔区)
玛雷尼披萨餐厅(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性",玛雷尼披萨餐厅,50,,13.2,,
番茄罗勒通心粉,紫,660,当前角色在之后的30秒内，每5秒回复845生命值。,经典的通心粉，搭配新鲜的番茄酱和芳香的罗勒叶，撒上香浓的奶酪。简单又美味，每一口都是让人怀念的味道。,"玛雷尼披萨餐厅(桥间地)
玛雷尼披萨餐厅(米格尔区)
玛雷尼披萨餐厅(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、持续",玛雷尼披萨餐厅,50,,13.2,,
内酱千层面,紫,660,当前角色在之后的30秒内，每5秒回复845生命值。,层层叠叠的千层面，裹满浓郁的肉酱和奶油酱，再撒上浓浓奶酪，烤至金黄……所有美食爱好者都不该错过这道佳肴。,"玛雷尼披萨餐厅(桥间地)
玛雷尼披萨餐厅(米格尔区)
玛雷尼披萨餐厅(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、持续",玛雷尼披萨餐厅,50,,13.2,,
柠檬气泡水,紫,660,为当前角色恢复生命上限的22%，并在之后的30秒内，每5秒回复416点生命值。,清新的柠檬片与气泡水的完美结合，再加上一点点薄荷叶，带来清爽的口感。,"玛雷尼披萨餐厅(桥间地)
玛雷尼披萨餐厅(米格尔区)
玛雷尼披萨餐厅(新赫兰德区)","食物、礼物、可购买
生命、百分比、数值、混合、单体、一次性、持续",玛雷尼披萨餐厅,50,,13.2,,
缤纷轻食沙拉,蓝,450,当前角色在之后的30秒内，每5秒回复572生命值。,健康沙拉碗，搭配新鲜的生菜、脆烤面包丁和嫩煎鸡胸肉，再撒上少许干酪，是轻食爱好者的理想选择！,"食为天家庭餐厅(桥间地)
食为天家庭餐厅(绘空町)
食为天家庭餐厅(米格尔区)
食为天家庭餐厅(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、持续",食为天家庭餐厅,50,哈索尔,9,,
元气儿童套餐,蓝,450,为当前角色恢复生命值上限的30%。,欢迎来到梦幻岛！当小英雄补充好元气以后，尝试在店内搜寻人气象象的踪影吧！你将会获得一个超酷的异象手办！,"食为天家庭餐厅(桥间地)
食为天家庭餐厅(绘空町)
食为天家庭餐厅(米格尔区)
食为天家庭餐厅(新赫兰德区)","食物、礼物、可购买
生命、百分比、单体、一次性",食为天家庭餐厅,50,"早雾
白藏",9,,
辣鸡扒咖喱饭,蓝,420,复活选中角色，并恢复生命值上限的14%。,超大块现炸辣鸡扒，配上香浓咖喱与蛋包饭，再佐以清爽的蔬菜沙拉，分量十足，让你吃得超满足！,"食为天家庭餐厅(桥间地)
食为天家庭餐厅(绘空町)
食为天家庭餐厅(米格尔区)
食为天家庭餐厅(新赫兰德区)","食物、礼物、可购买
复活、生命、百分比、单体、一次性",食为天家庭餐厅,50,,8.4,,
巨型汉堡肉,蓝,420,复活选中角色，并额外恢复1000生命值。,是让人忍不住惊呼的巨大牛肉饼！为肉食爱好者量身打造！,"食为天家庭餐厅(桥间地)
食为天家庭餐厅(绘空町)
食为天家庭餐厅(米格尔区)
食为天家庭餐厅(新赫兰德区)","食物、礼物、可购买
复活、生命、数值、单体、一次性",食为天家庭餐厅,50,卡厄斯,8.4,,
大防御家！,金,1800,队伍中所有角色防御力增加175，持续600秒。多人游戏时，仅对自己的角色生效。,护甲等级Max！这位守护伤口的勇士明明超强却过分谨慎！ ,"竹本清源药妆店(桥间地)
竹本清源药妆店(绘空町)
竹本清源药妆店(米格尔区)
竹本清源药妆店(新赫兰德区)","食物、礼物、可购买、可拾取
防御力、数值、持续、全队",竹本清源药妆店,50,阿德勒,36,,
竹本！Vitamin!,紫,750,队伍中所有角色暴击率增加10%，持续180秒。多人游戏时，仅对自己的角色生效。,每日一顆「竹本！Vitamin！」，与健康生活打出完美Combo！,"竹本清源药妆店(桥间地)
竹本清源药妆店(绘空町)
竹本清源药妆店(米格尔区)
竹本清源药妆店(新赫兰德区)","食物、礼物、可购买、可拾取
暴击、暴击率、百分比、持续、全队",竹本清源药妆店,50,浔,15,,
清凉凉提神药,紫,600,队伍中所有角色体力回复速度提升20%，持续900秒。,让疲惫在清凉凉的轻抚下化为乌有，恢复你的生命！,"竹本清源药妆店(桥间地)
竹本清源药妆店(绘空町)
竹本清源药妆店(米格尔区)
竹本清源药妆店(新赫兰德区)","食物、礼物、可购买、可拾取
体力、回复提速、百分比、持续、全队",竹本清源药妆店,50,"哈索尔
达芙蒂尔
残虹",12,,
明亮~wink大作战！,紫,600,队伍中所有角色消耗的体力降低20%，持续900秒。多人游戏时，仅对自己的角色生效。 ,明亮~wink大作战！双眼瞬间Bling bling，今天的你也是闪闪发光的主角！,"竹本清源药妆店(桥间地)
竹本清源药妆店(绘空町)
竹本清源药妆店(米格尔区)
竹本清源药妆店(新赫兰德区)","食物、礼物、可购买、可拾取
体力、消耗降低、百分比、持续、全队",竹本清源药妆店,50,,12,,
净化守护含片,蓝,420,为当前角色恢复1000点生命值，并在之后的30秒内，每5秒恢复260点生命值。,警报！警报！炎症来袭，召唤特别行动组！净化炎症因子，全方位守护家人的健康！,"竹本清源药妆店(桥间地)
竹本清源药妆店(绘空町)
竹本清源药妆店(米格尔区)
竹本清源药妆店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性、持续",竹本清源药妆店,50,阿德勒,8.4,,
大肉包,绿,300,为当前角色恢复生命值上限的20%。,外皮软和，包裹着内里紧实鲜嫩的大肉丸。带着油花的汤汁浸润面皮，滋味鲜美无比！,"巨嘴包子店(桥间地)
巨嘴包子店(绘空町)
巨嘴包子店(米格尔区)
巨嘴包子店(新赫兰德区)","食物、礼物、可购买
生命、百分比、单体、一次性",巨嘴包子店,50,,6,,
巨嘴奶黄包,绿,300,为当前角色恢复1450点生命值。,白胖Q萌的巨嘴怪，内里包裹着细腻的奶黄馅。一口咬下，浓浓奶香，香甜爆浆！,"巨嘴包子店(桥间地)
巨嘴包子店(绘空町)
巨嘴包子店(米格尔区)
巨嘴包子店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性",巨嘴包子店,50,"埃德嘉
海月",6,,
叉烧包,绿,300,当前角色在之后的30秒内，每5秒回复377生命值。,使用传统工艺制作的广式叉烧包，老面松软化渣，叉烧嫩滑浓香。黄金配比，甜咸适中，油而不腻！,"巨嘴包子店(桥间地)
巨嘴包子店(绘空町)
巨嘴包子店(米格尔区)
巨嘴包子店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、持续",巨嘴包子店,50,,6,,
蟹粉小笼,绿,300,为当前角色恢复700点生命值，并在之后的30秒内，每5秒恢复182点生命值。,推荐吃法：轻轻戳开柔韧的外皮，先品尝金黄咸香的汤汁。推荐搭配本店特调的玫瑰醋，滋味更丰富！,"巨嘴包子店(桥间地)
巨嘴包子店(绘空町)
巨嘴包子店(米格尔区)
巨嘴包子店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性、持续",巨嘴包子店,50,,6,,
惠比寿宫廷小塔,紫,0,队伍中所有角色攻击力增加125，持续180秒。多人游戏时，仅对自己的角色生效。,白贝壳星级主厨的甜品代表作之一。外层选用上等黄油起酥，精选小布妮种植鲜橙为夹层，辅以蓝莓果酱基底。入口如天鹅羽毛般轻盈，让你体验到前所未有的清新丝滑感受。,"仅主线剧情获取
目前不可再生","食物、礼物、可拾取、不可再生、特殊获取
攻击力、数值、持续、全队",,50,"海月
九原
浔",0,,
大将军章鱼烧,紫,1200,队伍中所有角色攻击力增加125，持续180秒。多人游戏时，仅对自己的角色生效。,无愧于「大将军」之名的招牌超大章鱼烧。整只章鱼霸气入料，颗颗软糯弹牙，鲜味十足，即使是「章鱼」亲手制作的章鱼烧，论风味也与之难分高下。,"大将军(绘空町)
大将军(米格尔区)
大将军(新赫兰德区)","食物、礼物、可购买
攻击力、数值、持续、全队",大将军,50,,24,,
番茄百分百果冻,蓝,480,为当前角色恢复2350点生命值。,可口的番茄果冻，为了被美食鉴赏家一口吃掉，成为百分百的美味。,"番茄百分百专卖售货机
（推荐去米格尔区电话亭附近暴走玩家买，比较好找）","食物、礼物、可购买
生命、数值、单体、一次性",番茄百分百,50,安魂曲,9.6,,
番茄百分百果汁,蓝,480,当前角色在之后的30秒内，每5秒回复611点生命值。,可口的番茄果汁，在无止境的番茄物语中，献上美味。,"番茄百分百专卖售货机
（推荐去米格尔区电话亭附近暴走玩家买，比较好找）","食物、礼物、可购买
生命、数值、单体、持续",番茄百分百,50,安魂曲,9.6,,
番茄百分百奶昔,蓝,480,为当前角色恢复1150点生命值，并在之后的30秒内，每5秒回复299点生命值。,香甜的番茄奶昔，无论如何都想要寻求与心跳邂逅。,"番茄百分百专卖售货机
（推荐去米格尔区电话亭附近暴走玩家买，比较好找）","食物、礼物、可购买
生命、数值、单体、一次性、持续",番茄百分百,50,安魂曲,9.6,,
番茄百分百,绿,300,队伍中所有角色体力回复速度提升10%，持续900秒。多人游戏时，仅对自己的角色生效。,精选新鲜番茄去籽研磨，经过绝密加工方式，不含精制糖却格外酸甜可口，再加上S级食品认证标志，是海特洛市最受欢迎的「番茄果冻」，百分百的番茄，制造百分百的美味！,"番茄百分百专卖售货机
（推荐去米格尔区电话亭附近暴走玩家买，比较好找）","食物、礼物、可购买
体力、消耗降低、百分比、持续、全队",番茄百分百,50,安魂曲,6,,
焰火海鲜饭,紫,0,队伍中所有角色攻击力增加100，持续180秒。多人游戏时，仅对自己的角色生效。,卡厄斯执意要把这碗不含任何海鲜成分的饭称作「海鲜饭」，甚至不惜改口说自己的名字就叫「海鲜」。,与卡厄斯进行居家互动 单人动作-做便当 获取,"食物、礼物、特殊获取
攻击力、数值、持续、全队",,50,卡厄斯,0,,
扭扭饼干,紫,1050,为当前角色恢复生命值上限的56%。,"向阳岛义工们手工制作的饼干，做成了最受欢迎的扭扭模样。
「每一袋饼干的盈利都将用于『一意向阳』异象福利院的建设，感谢您为海特洛市福利事业做出的贡献。」",国王粗点心(向阳岛),"食物、礼物、可购买
生命、百分比、单体、一次性",国王粗点心,50,,21,,
向阳一日,紫,840,队伍中所有角色攻击力增加140，持续180秒。多人游戏时，仅对自己的角色生效。,"第一层的蔚蓝，是向阳岛的清晨，清澈的海水卷过沙滩；
第二层的灿金，是向阳岛的午后，慵懒的阳光透过纱幔；
第三层的绛红，是向阳岛的落日，当最后一抹晚霞也消失于天际，向阳岛的一日就走进了尾声。",国王粗点心(向阳岛),"食物、礼物、可购买
攻击力、数值、持续、全队",国王粗点心,50,,16.8,,
解困蜜,蓝,0,为当前角色恢复生命上限的32%,由「解困蜂」采撷他人的困意，加工酿造而成。兑水服用可促进睡眠，并缓解失眠造成的偏头痛。,"向阳岛【一意向阳度假村】农场区蜂箱采蜜获取
目前疑似不可再生，至多获取4个","食物、礼物、可拾取、不可再生、特殊获取
生命、百分比、单体、一次性",,50,,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
