名称,稀有度,价格,用途,介绍,获取途径,标签,类型,家装系列,舒适度,收藏值,好感,好感翻倍角色,每好感花费
HAHA,绿,4000,装饰家里墙壁的画，收录后增加收藏值，摆放在家中可增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,以塔吉多的形象制成的海报。一般塔吉多笑得这么开心的时候，坏消息就要降临了。,"白鲸书店(桥间地)
白鲸书店(绘空町)
白鲸书店(米格尔区)
白鲸书店(新赫兰德区)","家装、礼物、可购买
一咖舍",墙壁、贴纸,白鲸书店贴纸文创系列,8,40,100,埃德嘉,40
放空咻,绿,4000,装饰家里墙壁的画，收录后增加收藏值，摆放在家中可增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,以咻啪的形象制成的海报。咻啪需要休假，现在在这里的只有咻啪的躯壳。,"白鲸书店(桥间地)
白鲸书店(绘空町)
白鲸书店(米格尔区)","家装、礼物、可购买
一咖舍",墙壁、贴纸,白鲸书店贴纸文创系列,8,40,100,"翳（狗哥）
安魂曲",40
背包的秘密,绿,4800,装饰家里墙壁的画，收录后增加收藏值，摆放在家中可增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,以咻啪的形象制成的海报。请不要拿走咻啪的背包！拜托了！里面真的什么都没有啊！,"白鲸书店(桥间地)
白鲸书店(绘空町)
白鲸书店(米格尔区)","家装、礼物、可购买
一咖舍",墙壁、贴纸,白鲸书店贴纸文创系列,9,48,100,"薄荷
翳（狗哥）",48
跳跳兔盒,紫,20000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。以兔耳造型搭配趣味按钮，是卡通与现代科技的完美结合，适合装点创意场所。,布朗电器店(桥间地),家装、礼物、可购买,装饰、摆件,布朗电器店摆件系列,40,200,200,"早雾
小吱
安魂曲",100
金月,蓝,15000,可以装饰家里的摆件，收录后增加收藏值，摆放家中可增加舒适度。,必不可少的家具摆件。弯月样的造型，金属的质感和光泽增添了一分温暖与高级感,布朗电器店(绘空町),家装、礼物、可购买,装饰、摆件,布朗电器店摆件系列,30,150,200,"浔
真红
伊洛伊",75
轨道之心,紫,20000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。以柔光球体为核心，搭配优雅的环状装饰，带来静谧而神秘的视觉体验。,"布朗电器店(米格尔区)
布朗电器店(新赫兰德区)",家装、礼物、可购买,装饰、摆件,布朗电器店摆件系列,40,200,200,"九原
哈索尔
卡厄斯",100
储钱小哼,蓝,6000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。几乎每个孩子都会拥有的一个存钱罐，小小的身体里装着沉甸甸的梦想。,Oops! Chest礼品店(米格尔区),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,12,60,100,,60
结的艺术,蓝,5000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。黑色的结状雕塑，富有艺术气息，提升家居格调。,Oops! Chest礼品店(米格尔区),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,10,50,100,,50
环的冥想,蓝,5000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。黑色的环状雕塑，富有艺术气息，提升家居格调。,Oops! Chest礼品店(米格尔区),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,10,50,100,,50
粉羽篮,蓝,4000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。粉色的鸟状瓷篮，美观实用，既可以当作收纳篮，也适合装点家居。,Oops! Chest礼品店(米格尔区),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,8,40,100,,40
显像屏,紫,25000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。宽广清晰的超大屏幕，带给用户更好的视觉体验。,布朗电器店(桥间地),家装、礼物、可购买,装饰、摆件,布朗电器店摆件系列,50,250,200,,125
拉普本,紫,25000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。轻薄便携的笔记本电脑，性能优秀，满足多种需求。,布朗电器店(绘空町),家装、礼物、可购买,装饰、摆件,布朗电器店摆件系列,50,250,200,,125
律动音响,紫,20000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。黑色的经典音响，环绕立体音效，让音乐融入家居生活。,布朗电器店(米格尔区),家装、礼物、可购买,装饰、摆件,布朗电器店摆件系列,40,200,200,,100
溶月茶具,蓝,15000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。茶壶与茶杯都是富有韵味的月白色，工艺精细，线条优雅，颇受茶客青睐。,Oops! Chest礼品店(米格尔区),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,30,150,200,,75
学园制服包,蓝,12000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,经典款式的制服包。造型百搭不出错，有惊人的超大容量，是学生们的选择。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,24,120,200,,60
拍拍球,蓝,10000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,家中常见的健身好物。弹性很好的拍拍球，通常会像流星一样在球场划过。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,20,100,200,,50
巡弋轮滑,蓝,15000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,家中常见的健身好物。配色清新时尚的滑轮车，轻便快捷，使用时记得戴好头盔。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,30,150,200,,75
通勤公文包,蓝,14000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,轻便耐用的公文包。双搭扣设计，安全性好，容量颇大，是上班一族必不可少的上班好搭档。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、摆件,Oops! Chest摆件系列,28,140,200,,70
映像机,紫,22000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实用的日常物件。功能强大的相机，小巧便携，可以用它定格生活中值得留念的每一帧。,布朗电器店(新赫兰德区),家装、礼物、可购买,装饰、摆件,布朗电器店摆件系列,44,220,200,,110
九百九十九夜,金,15000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,当下最热门最受欢迎的桌游，给你最沉浸式的游玩体验！还在担心聚会会冷场吗？即刻来一把「九百九十九夜」！,DSD潮玩店(新赫兰德区),家装、礼物、可购买,装饰、摆件,DSD异象桌游系列,30,150,200,"真红
伊洛伊",75
雪胆瓶,蓝,4500,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。通体雪白的大肚瓶，适配各种插花造型，可以提升家居氛围感。,Oops! Chest礼品店(米格尔区),家装、礼物、可购买,装饰、工艺品,Oops! Chest摆件系列,9,45,100,,45
衔尾环瓶-白,蓝,4500,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。环状的白色瓷瓶，触感清凉，颇有一番圆融的美感。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、工艺品,Oops! Chest摆件系列,9,45,100,,45
衔尾环瓶-蓝,蓝,4500,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。环状的蓝色瓷瓶，触感清凉，颇有一番圆融的美感。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、工艺品,Oops! Chest摆件系列,9,45,100,,45
衔尾环瓶-黄,蓝,4500,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。环状的黄色瓷瓶，触感清凉，颇有一番圆融的美感。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、工艺品,Oops! Chest摆件系列,9,45,100,,45
双颈玉瓶-白,蓝,4500,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。质感独特的白色双颈瓶，别具一格的设计使得它在装饰家居方面有更多可能。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、工艺品,Oops! Chest摆件系列,9,45,100,,45
双颈玉瓶-黄,蓝,4500,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。质感独特的黄色双颈瓶，别具一格的设计使得它在装饰家居方面有更多可能。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、工艺品,Oops! Chest摆件系列,9,45,100,,45
双颈玉瓶-蓝,蓝,4500,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。质感独特的蓝色双颈瓶，别具一格的设计使得它在装饰家居方面有更多可能。,Oops! Chest礼品店(桥间地),家装、礼物、可购买,装饰、工艺品,Oops! Chest摆件系列,9,45,100,,45
挽香瓶,蓝,5000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。瓶身修长，常用于插置单枝或少量花束，为家居增添雅致氛围。,Oops! Chest礼品店(米格尔区),家装、礼物、可购买,装饰、工艺品,Oops! Chest摆件系列,10,50,100,,50
墨痕,绿,4000,可以摆在家里的书籍，收录后增加收藏值，摆放在家中可增加舒适度。,供人随时阅读的书本。几本成套的系列书籍，将它们摆放在触手可及的地方，可以随时享受阅读的私人时光。,白鲸书店(桥间地),家装、礼物、可购买,装饰、书,供人随时阅读的书本系列,8,40,100,,40
纸丘,绿,5000,可以摆在家里的书籍，收录后增加收藏值，摆放在家中可增加舒适度。,供人随时阅读的书本。堆叠在一起的书籍，将它们摆放在触手可及的地方，可以随时享受阅读的私人时光。,白鲸书店(绘空町),家装、礼物、可购买,装饰、书,供人随时阅读的书本系列,10,50,100,,50
册峦,绿,5000,可以摆在家里的书籍，收录后增加收藏值，摆放在家中可增加舒适度。,供人随时阅读的书本。随手放置的书籍，将它们摆放在触手可及的地方，可以随时享受阅读的私人时光。,白鲸书店(绘空町),家装、礼物、可购买,装饰、书,供人随时阅读的书本系列,10,50,100,,50
拾页,绿,5000,可以摆在家里的书籍，收录后增加收藏值，摆放在家中可增加舒适度。,供人随时阅读的书本。三三两两的书籍，将它们摆放在触手可及的地方，可以随时享受阅读的私人时光。,白鲸书店(新赫兰德区),家装、礼物、可购买,装饰、书,供人随时阅读的书本系列,10,50,100,,50
书山,绿,5000,可以摆在家里的书籍，收录后增加收藏值，摆放在家中可增加舒适度。,供人随时阅读的书本。分类归纳的书籍，将它们摆放在触手可及的地方，可以随时享受阅读的私人时光。,白鲸书店(米格尔区),家装、礼物、可购买,装饰、书,供人随时阅读的书本系列,10,50,100,,50
识川,绿,5000,可以摆在家里的书籍，收录后增加收藏值，摆放在家中可增加舒适度。,整齐排列的书籍，将它们摆放在触手可及的地方，可以随时享受阅读的私人时光。,白鲸书店(米格尔区),家装、礼物、可购买,装饰、书,供人随时阅读的书本系列,10,50,100,,50
文峰,绿,5000,可以摆在家里的书籍，收录后增加收藏值，摆放在家中可增加舒适度。,供人随时阅读的书本。五六本摞起来的书籍，将它们摆放在触手可及的地方，可以随时享受阅读的私人时光。,白鲸书店(新赫兰德区),家装、礼物、可购买,装饰、书,供人随时阅读的书本系列,10,50,100,,50
木心素灯,紫,20000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。实木制成的古朴灯杆，温温暖治愈，为家居增添氛围。,布朗电器店(新赫兰德区),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,40,200,200,,100
水月清灯,紫,20000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。水蓝色的灯杆衬着明月般的灯光，如同枕边海月，颇具别样意趣。,布朗电器店(新赫兰德区),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,40,200,200,,100
映雪笼,蓝,15000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。造型古朴雅致，灯影朦胧，宛如雪映。,布朗电器店(新赫兰德区),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,30,150,200,,75
续昼明灯,蓝,10000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。简约现代的造型配有大功率的灯泡，再昏暗的房间也能将其照亮如同白昼。,布朗电器店(桥间地),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,20,100,200,,50
梅心夜灯,蓝,15000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。底座由黄铜打造，质感沉稳，粉色的梅花造型为其增添了别样的韵味。,布朗电器店(新赫兰德区),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,30,150,200,,75
几何灯,紫,18000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。白色圆点灯罩与红色装饰顶球的撞色设计，极具个性。,布朗电器店(绘空町),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,36,180,200,,90
静夜方灯,紫,18000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。简洁的方形灯罩设计，柔和的光线让人觉得温暖。,布朗电器店(米格尔区),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,36,180,200,海月,90
复古暖灯,蓝,15000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。纹理细腻的灯罩，风格鲜明的灯具，需要一点审美搭配。,布朗电器店(绘空町),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,30,150,200,,75
暮光尖灯,蓝,15000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。锥形灯柱与立体底座结合，顶部柔光灯罩如明珠闪耀，很有艺术感。,布朗电器店(桥间地),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,30,150,200,,75
清影台灯,蓝,10000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。方正简约的设计，适合多种现代风格的家装设计。,"布朗电器店(绘空町)
布朗电器店(桥间地)
布朗电器店(米格尔区)",家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,20,100,200,,50
弧光立灯,蓝,12000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。弧形灯臂与绿色底座的搭配，造型轻巧独特。,"布朗电器店(绘空町)
布朗电器店(桥间地)
布朗电器店(米格尔区)",家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,24,120,200,,60
白玉盏,紫,20000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。造型古朴雅致，荧光幽静，温润如玉。,布朗电器店(米格尔区),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,40,200,200,翳（狗哥）,100
雾光杯,紫,20000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,散发着温暖光芒的灯具。灯罩如轻雾笼罩着的高脚杯，整体线条流畅，设计独特而优雅。,布朗电器店(桥间地),家装、礼物、可购买,装饰、灯饰,布朗电器店灯饰系列,40,200,200,,100
