名称,稀有度,价格,用途,介绍,获取途径,标签,类型,子类型,规格,家装系列,舒适度,收藏值,角色特殊互动,pics,,
藤华曲屏,紫,18000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,可以装点家居的屏风。绘有水墨画的古朴屏风，轻便灵活，为家居空间带来更多可能。,超规格家饰馆(新赫兰德区),家装、可购买,家具,屏风,L,,36,180,,藤华曲屏,,
琉璃影屏,紫,18000,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,可以装点家居的屏风。清透的玻璃屏风，轻便灵活，为家居空间带来更多可能。,超规格家饰馆(米格尔区),家装、可购买,家具,屏风,L,,36,180,,琉璃影屏,,
帆影画屏,紫,22500,可以装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以装点家居的屏风。绘有油画的屏风，轻便灵活，为家居空间带来更多可能。,超规格家饰馆(绘空町),家装、可购买,家具,屏风,L,,45,225,,帆影画屏,,
长短琴屏,蓝,15000,可以装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以装点家居的屏风。富有设计感的屏风，轻便灵活，为家居空间带来更多可能。,超规格家饰馆(绘空町),家装、可购买,家具,屏风,L,,30,150,,长短琴屏,,
素简锦屏,紫,18000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以装点家居的屏风。造型经典的屏风，轻便灵活，为家居空间带来更多可能。,超规格家饰馆(米格尔区),家装、可购买,家具,屏风,L,,36,180,,素简锦屏,,
玉白格屏,紫,21000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以装点家居的屏风。质感如玉的屏风，轻便灵活，为家居空间带来更多可能。,超规格家饰馆(米格尔区),家装、可购买,家具,屏风,L,,42,210,,玉白格屏,,
山野屏风,紫,24000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,独具一格的亚克力材质，为家中光影增添独特色彩。,超规格家饰馆(新赫兰德区),家装、可购买,家具,屏风,L,,48,240,,山野屏风,,
马迪诺斯屏风,紫,24000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,古铜色金属框架，搭配冷冽的大理石石板，适合低调奢华的家装风格。,超规格家饰馆(新赫兰德区),家装、可购买,家具,屏风,L,,48,240,,马迪诺斯屏风,,
太空行毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。深色的太空上印有鲜明的星球，宛如一块缩小的宇宙。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,L,,15,75,,太空行毯,,
群星灰毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。充满想象力的设计加上耐脏耐磨的材质，适合搭配深色系家居环境。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,L,,15,75,,群星灰毯,,
灰斑长毯,金,5000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。灰色斑纹在长绒间流淌，延展出无尽的包容感。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,L,,10,50,,灰斑长毯,,
游虹趣毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。花纹丰富多样，配色五彩斑斓，是亮眼的家居装饰。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,L,,15,75,,游虹趣毯,,
复古红毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。时尚的印花和正红的天鹅绒材质相得益彰，潮流永不过时。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,L,,12,60,,复古红毯,,
蓝白方毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。不规则的色块和谐搭配，适配多种家居环境。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,M,,12,60,,蓝白方毯,,
数列异形毯,金,5000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。异形边缘打破常规的方正，带来视觉的跃动。适合铺在书房，助思绪灵动地游走。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,M,,10,50,,数列异形毯,,
素色斑毯,金,5000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。宛如林间透过叶隙洒下光斑，铺在床边或阳台，坐拥午后斑驳的闲适时光。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,L,,10,50,,素色斑毯,,
飞星长毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。流星划过深色的背景，为房间增添梦幻感。,超规格家饰馆(绘空町),家装、可购买,家具,地毯,S,,15,75,,飞星长毯,,
粉澜纹毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。亲肤细腻，棕粉双色搭配波浪状的外形，是许多人的首推家居地毯。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,15,75,,粉澜纹毯,,
洄涡环毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。具有动感的漩涡外形，看久了使人目眩。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,12,60,,洄涡环毯,,
蓝梦云毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。绵软的面料和云层一般，踩在上面就能坠入蔚蓝的酣甜之梦。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,12,60,,蓝梦云毯,,
自转星毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。银河和马赛克的共同点是「未知」，星球和你的共同点是「自转」。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,12,60,,自转星毯,,
自转星毯,金,5000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。银河和马赛克的共同点是「未知」，星球和你的共同点是「自转」。,"超规格家饰馆(米格尔区)
实际上找不到",家装、可购买,家具,地毯,M,,10,50,,自转星毯M,,
木纹毯,金,5000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。触感粗粝又蕴藏暖意，适合铺在炉火边或阅读角，拢住一室安宁。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,M,,10,50,,木纹毯,,
踏梦熊毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。造型可爱，充满童趣，绒毛细密柔软，非常适合装饰家居。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,12,60,,踏梦熊毯,,
蓝川冰毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。冰川一样的蓝白配色，触感冰凉，是炎热天气降温的好帮手。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,12,60,,蓝川冰毯,,
花样纹毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。繁华在绒毯上肆意蔓延，铺在卧室或梳妆台前，每一次落脚都像踏进一座永不凋零的花园。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,12,60,,花样纹毯,,
交横线毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。分明的曲线在浅蓝底色上交横，构筑出线与面的艺术。适合置于玄关或走道，让空间拥有呼吸感。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,S,,12,60,,交横线毯,,
米色圆毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。无任何多余纹饰，只有米白的绒面上泛着麦浪般的柔光。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,M,,15,75,,米色圆毯,,
绮印沙毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。材质舒适，配色和谐，踩在上面宛如行走在沙滩上。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,M,,15,75,,绮印沙毯,,
浅灰圆毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。触面凉爽平滑，带着中性而克制的静谧感，如同一块被月光漂洗的卵石。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,M,,15,75,,浅灰圆毯,,
魔女圆毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。看似不普通，实际也不普通。在这魔力涌动的圆心上，唯有「那位大人」才能签订契约。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,M,,15,75,,魔女圆毯,,
熔流圆毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。亮橘色与黑色的碰撞，是房间中醒目的装饰。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,M,,15,75,,熔流圆毯,,
粉贝圆毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。抢眼的粉色系设计，毛质柔软，适合创意家居。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,M,,15,75,,粉贝圆毯,,
孤星绒毯,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。若一颗星球上只有你一人存在，孤独和自爱便是永恒的命题。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,M,,15,75,,孤星绒毯,,
菱格软毯,金,5000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。菱形格纹排列整齐，像被切割的暖色琥珀。踩在上面，寒意被每一格暖意层层瓦解。,超规格家饰馆(新赫兰德区),家装、可购买,家具,地毯,L,,10,50,,菱格软毯,,
素斑地毯,金,5000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。质朴的配色彰显自然主义家居风格，具有良好的耐脏性，减少频繁清洁的负担。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,L,,10,50,,素斑地毯,,
灰斑地毯,金,5000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。高级灰调适配现代简约、工业风或冷淡风的装修。经典，永不过时。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,M,,10,50,,灰斑地毯,,
粉橙脚垫,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的实用脚垫。踩上去软糯有弹性，能瞬间柔化玄关或卫生间的冷硬线条。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,12,60,,粉橙脚垫,,
花花脚垫,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的实用脚垫。蓝白的配色清新可爱，每次落足都像踩进缀满野花的春日草坡，带来一室明快的生机。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,12,60,,花花脚垫,,
梦林长毯,金,6000,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的柔软地毯。长绒如林间厚积的松针与苔藓，衍生出一条通往梦境的粉色甬道。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,L,,12,60,,梦林长毯,,
雨叶脚垫,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的实用脚垫。独特的叶片纹理设计，用凹凸表面刮除鞋底泥沙，兼具美感与功能性。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,15,75,,雨叶脚垫,,
飞星脚垫,金,7500,可以装饰家里的摆件，增加舒适度和收藏值。,常在家中放置的实用脚垫。穿行于银河边缘时，不小心惊醒了沉睡的星座。既是实用的脚垫，也是地上低调的装饰画。,超规格家饰馆(米格尔区),家装、可购买,家具,地毯,S,,15,75,,飞星脚垫,,
净逸方壶,蓝,4500,可以与绿植自由搭配的大号花盆，或者仅做摆件用，收录后增加收藏值，摆放在家中可增加舒适度。,家用的摆件花盆，充满现代感的简约设计，省心百搭的选择。,"集山忘野花店(绘空町)
集山忘野花店(新赫兰德区)",家装、可购买,园艺,花盆,S,,9,45,,净逸方壶,,
素白圆壶,蓝,3900,可以与绿植自由搭配的大号花盆，或者仅做摆件用，收录后增加收藏值，摆放在家中可增加舒适度。,家用的摆件花盆，颜色素雅，造型流畅，搭配绿植更显柔和。,"集山忘野花店(绘空町)
集山忘野花店(新赫兰德区)",家装、可购买,园艺,花盆,S,,7,39,,素白圆壶,,
雅陶圆壶,蓝,3000,可以与绿植自由搭配的大号花盆，或者仅做摆件用，收录后增加收藏值，摆放在家中可增加舒适度。,家用的摆件花盆，温润的陶制花盆，营造出舒适的氛围。,"集山忘野花店(绘空町)
集山忘野花店(新赫兰德区)",家装、可购买,园艺,花盆,S,,6,30,,雅陶圆壶,,
夜影花盆,蓝,3000,可以与绿植自由搭配的大号花盆，或者仅做摆件用，收录后增加收藏值，摆放在家中可增加舒适度。,家用的摆件花盆，宛如安宁夜晚的配色，只要简单的搭配就能变得充满生机。,"集山忘野花店(绘空町)
集山忘野花店(新赫兰德区)",家装、可购买,园艺,花盆,S,,6,30,,夜影花盆,,
藤纹花盆,蓝,4500,可以与绿植自由搭配的大号花盆，或者仅做摆件用，收录后增加收藏值，摆放在家中可增加舒适度。,家用的摆件花盆，细腻的藤纹搭配恰当的花束，增添了几分田园趣味。,"集山忘野花店(绘空町)
集山忘野花店(新赫兰德区)",家装、可购买,园艺,花盆,S,,9,45,,藤纹花盆,,
棱镜方盒,蓝,4500,可以与绿植自由搭配的大号花盆，或者仅做摆件用，收录后增加收藏值，摆放在家中可增加舒适度。,家用的摆件花盆，几何切面设计，光在表面折射出多样的色彩。,"集山忘野花店(绘空町)
集山忘野花店(新赫兰德区)",家装、可购买,园艺,花盆,S,,9,45,,棱镜方盒,,
原木置物架-三层,绿,7800,可以摆放各类绿植的木架，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。简约三层设计，纹路细腻自然，实用性与美观性兼备，是收纳与装饰的好帮手。,"超规格家饰馆(绘空町)
可拾取，参考BV1TKGU63EBW",家装、可购买、可拾取,园艺,花架,L,原木系列,15,78,,原木置物架-三层,,
原木置物架-双层,绿,7800,可以摆放各类绿植的木架，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。实木打造的两层设计，造型简洁，既可用作储物架，也可用作家居装饰架。,"超规格家饰馆(绘空町)
可拾取，参考BV1TKGU62EBW",家装、可购买、可拾取,园艺,花架,M,原木系列,15,78,,原木置物架-双层,,
原木长凳,绿,6000,可以摆放各类绿植的木架，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。条纹设计美观又实用，有着质朴的自然魅力。,"超规格家饰馆(绘空町)
可拾取，参考BV1TKGU64EBW",家装、可购买、可拾取,园艺,花架,M,原木系列,12,60,,原木长凳,,
原木凳,绿,4800,可以摆放各类盆栽的木架，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。造型简约的实用性方凳，适合家用吧台椅。,"超规格家饰馆(绘空町)
可拾取，参考BV1TKGU65EBW",家装、可购买、可拾取,园艺,花架,M,原木系列,9,48,,原木凳,,
翠方冠,蓝,7200,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，茂盛的绿叶像一顶翠色冠，搭配简约时尚花盆，清新而大气。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,14,72,,翠方冠,,
暮山紫,蓝,9600,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，淡雅的紫色层叠交错，简约又不失时尚。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,19,96,,暮山紫,,
星夜,蓝,8800,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，精致的紫色花簇点缀其间，优雅又充满生机。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,17,88,,星夜,,
翠然,蓝,8000,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，碧叶四面展开，造型优雅，充满自然气息，是理想的选择。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,16,80,,翠然,,
剑意,蓝,7200,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，叶片结构清晰而层次丰富，适合放在客厅中。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,14,72,,剑意,,
繁彩,蓝,10000,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，粉花与绿叶组成的小型花园，带来浓浓的田园风情。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,20,100,,繁彩,,
青葱,蓝,8000,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，绿意盎然的小型盆景，层次分明的造景为空间增添清新与活力。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,16,80,,青葱,,
绿影金阳,蓝,8800,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，绿叶衬托着一簇簇明艳的黄花，花盆低调朴素，突显植物的自然美感。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,17,88,,绿影金阳,,
森语,蓝,8000,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，葱郁绿叶与白色花盆完美融合，宁静又具有自然的动感。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,S,,16,80,,森语,,
栖碧,紫,14000,可以装饰家里的盆栽，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，经久长青的盆植，独特的形态往往使它成为家中的视觉焦点。,植愈绿植店 (绘空町),家装、可购买,园艺,盆栽,M,,28,140,,栖碧,,
翠影疏疏,蓝,8000,可以装饰家里的绿植，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，龟背状的叶片大气张扬，充满活力，是拓展空间的完美选择。,植愈绿植店 (绘空町),家装、可购买,园艺,花艺,S,植愈绿植系列,16,80,,翠影疏疏,,
翠羽轻纱,蓝,7200,可以装饰家里的绿植，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，细长的叶片如羽毛般层层叠叠，营造出独特的自然美感。,植愈绿植店 (绘空町),家装、可购买,园艺,花艺,S,植愈绿植系列,14,72,,翠羽轻纱,,
翡翠冠冕,蓝,7200,可以装饰家里的绿植，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，纤细的叶片自然舒展，整体造型轻盈又有丰富的层次感。,植愈绿植店 (绘空町),家装、可购买,园艺,花艺,S,植愈绿植系列,14,72,,翡翠冠冕,,
丛生碧野,蓝,6000,可以装饰家里的绿植，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，叶片交错生长，层层叠叠的绿意为家中增添了一抹生机。,植愈绿植店 (绘空町),家装、可购买,园艺,花艺,S,植愈绿植系列,12,60,,丛生碧野,,
青枝婆娑,蓝,4000,可以装饰家里的绿植，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，修长的叶片疏密相间地生长，简约又不失美感。,植愈绿植店 (绘空町),家装、可购买,园艺,花艺,S,植愈绿植系列,8,40,,青枝婆娑,,
柔翠茵茵,蓝,4000,可以装饰家里的绿植，收录后增加收藏值，摆放在家中可增加舒适度。,养眼的绿植摆设，叶片轻巧而疏朗，葱茏间流露出自然的和谐之美。,植愈绿植店 (绘空町),家装、可购买,园艺,花艺,S,植愈绿植系列,8,40,,柔翠茵茵,,
黄瓜种子,蓝,10,可在「闲野雅筑」房产的耕种区域内种植，成熟后收获作物,常见的农作物种子，种植并浇水后七天可收获。单个种子的产物售卖时，总计消耗2点都市活力，获得2000方斯,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(向阳岛)",家装、可购买,园艺,耕种,S,闲野雅筑耕种系列,0,0,,黄瓜种子,,
茄子种子,蓝,10,可在「闲野雅筑」房产的耕种区域内种植，成熟后收获作物,常见的农作物种子，种植并浇水后七天可收获。单个种子的产物售卖时，总计消耗2点都市活力，获得2000方斯,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(向阳岛)",家装、可购买,园艺,耕种,S,闲野雅筑耕种系列,0,0,,茄子种子,,
土豆种子,蓝,10,可在「闲野雅筑」房产的耕种区域内种植，成熟后收获作物,常见的农作物种子，种植并浇水后七天可收获。单个种子的产物售卖时，总计消耗2点都市活力，获得2000方斯,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(向阳岛)",家装、可购买,园艺,耕种,S,闲野雅筑耕种系列,0,0,,土豆种子,,
南瓜种子,蓝,10,可在「闲野雅筑」房产的耕种区域内种植，成熟后收获作物,常见的农作物种子，种植并浇水后七天可收获。单个种子的产物售卖时，总计消耗2点都市活力，获得2000方斯,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(向阳岛)",家装、可购买,园艺,耕种,S,闲野雅筑耕种系列,0,0,,南瓜种子,,
胡萝卜种子,蓝,10,可在「闲野雅筑」房产的耕种区域内种植，成熟后收获作物,常见的农作物种子，种植并浇水后七天可收获。单个种子的产物售卖时，总计消耗2点都市活力，获得2000方斯,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(向阳岛)",家装、可购买,园艺,耕种,S,闲野雅筑耕种系列,0,0,,胡萝卜种子,,
萝卜种子,蓝,10,可在「闲野雅筑」房产的耕种区域内种植，成熟后收获作物,常见的农作物种子，种植并浇水后七天可收获。单个种子的产物售卖时，总计消耗2点都市活力，获得2000方斯,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(向阳岛)",家装、可购买,园艺,耕种,S,闲野雅筑耕种系列,0,0,,萝卜种子,,
255赫兹,金,30000,可以播放音乐的家装，收录后增加收藏值，摆放在家中可增加舒适度。 ,可以播放音乐的唱片机。粉嫩外观与经典唱片的结合，仿佛带人穿越回音乐的黄金年代。,Exile on Main St.唱片店(桥间地),家装、可购买,唱片机,,S,,60,300,薄荷,255赫兹,,
「莲-C198」唱片机,金,0,可以播放音乐的家装，收录后增加收藏值，摆放在家中可增加舒适度。,阿德勒赠送的复古唱机。曾经风靡一时的唱片机，如今早已停产。作为一台老古董，阿德勒先生将它保养得很好。,阿德勒 羁遇等级10级 羁遇奖励,家装、不可购买、特殊获取,唱片机,,S,羁遇奖励系列,60,300,薄荷,「莲-C198」唱片机,,
复古三角铁,金,36000,可以播放音乐的家装，收录后增加收藏值，摆放在家中可增加舒适度。 ,朴素简约的音乐播放器，很适合在午后静静欣赏一张老旧的黑胶碟片。,Exile on Main St.唱片店(桥间地),家装、可购买,唱片机,,S,,72,360,薄荷,复古三角铁,,
炫动三角铁,金,36000,可以播放音乐的家装，收录后增加收藏值，摆放在家中可增加舒适度。 ,设计新颖大胆的音乐播放器，给无聊的生活增添一抹亮眼色彩。,Exile on Main St.唱片店(桥间地),家装、可购买,唱片机,,S,,72,360,薄荷,炫动三角铁,,
纯粹水居,金,15000,收录后可增加收藏值，摆放在家中时将增加舒适度。,时新的家用鱼缸。全透明的立体设计，简约现代，展现水中世界的立体美感，满足全部的观赏体验。,月亮湾观赏鱼店（绘空町）,家装、可购买,养鱼,鱼缸,S,纯粹水居S,30,150,,纯粹水居S,,
雪中樱-长,金,48000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。于冰山上盛放的樱花树，落樱与鱼儿互相追逐，构成一幅静谧美丽的水下画卷。,月亮湾观赏鱼店（绘空町）,家装、可购买,养鱼,鱼缸造景,S,纯粹水居S,96,480,,雪中樱-长,,
绿野居-长,金,36000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。绿色草地铺满水底，岩石与亭台错落有致，鱼儿游弋其间，宛如一幅静谧的山水画。,月亮湾观赏鱼店（绘空町）,家装、可购买,养鱼,鱼缸造景,S,纯粹水居S,72,360,,绿野居-长,,
千秋境-长,金,36000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。雄伟的城堡与层叠的岩石构成就一幅奇幻景象，色彩明丽布局丰富，仿佛进入水下的童话故事。,月亮湾观赏鱼店（绘空町）,家装、可购买,养鱼,鱼缸造景,S,纯粹水居S,72,360,,千秋境-长,,
冒险岛-长,金,24000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。层叠的方块地形搭配鲜绿色草地，鱼儿游弋，宛如进入经典游戏世界的水下版本。,月亮湾观赏鱼店（绘空町）,家装、可购买,养鱼,鱼缸造景,S,纯粹水居S,48,240,,冒险岛-长,,
纯粹水居,金,22500,收录后可增加收藏值，摆放在家中时将增加舒适度。,时新的家用鱼缸。全透明的立体设计，简约现代，展现水中世界的立体美感，满足全部的观赏体验。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸,L,纯粹水居L,45,225,,纯粹水居L,,
环幕山色-长,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。青崖翠石盘旋而上，一泓清水间，山水神韵现。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,L,纯粹水居L,64,320,,环幕山色-长,,
绯梦城堡-长,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。城壁向上，梦向下。如同一个完整而立体的童话国度，是鱼群的梦幻乐园。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,L,纯粹水居L,64,320,,绯梦城堡-长,,
曲境寒樱-长,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。积雪掩映繁花，交织成一场永不凋零的幻梦。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,L,纯粹水居L,64,320,,曲境寒樱-长,,
像素环城-长,金,32000,可以增加鱼缸观赏性的造景，收录后增加收藏值，摆放在家中可增加舒适度。,风格鲜明的鱼缸造景。方块盛盘堆叠而成的微型都市，在曲面折射下更显绿意盎然。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸造景,L,纯粹水居L,64,320,,像素环城-长,,
静谧水居,金,22500,收录后可增加收藏值，摆放在家中时将增加舒适度。,时新的家用鱼缸。大巧不工的实木底座与现代精工的透明四边相结合，给平淡的家居生活增添一尾趣味。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（新赫兰德区）",家装、可购买,养鱼,鱼缸,S,静谧水居S,45,225,,静谧水居S,,
