名称,稀有度,价格,用途,介绍,获取途径,标签,pics,,
聆谕水晶,金,0,可显示一定范围内的所有谕石，最多可同时存在3个。,那是干枯眼眶中流下的泪水，加上悔和恨在灰烬中凝聚而成水晶，只有这样才能看见迷茫的灵魂。,「魔女之家」告谕等级3级获得,重要物品、特殊获取、便捷条、快捷道具,聆谕水晶,,
VitalMax能量棒,金,0,获得后自动使用，耐力永久增加10点。,迈达斯科技公司与食品巨头贝弗瑞集团合作研发的革命性能量棒，提取多种超级食材精华与某种未被公开的异象活性成分，能显著提升异能者的长期体能。,「魔女之家」告谕等级1/2/4/5/6/7/8/9级获得,重要物品、特殊获取、养成材料、其他养成,VitalMax能量棒,,
员工电梯卡,金,0,曾属于某位工作人员的电梯卡。,持有此卡可以使用通往其他楼层的电梯。,异象委托「噩梦缠身-无名医院」探索获得,重要物品、特殊获取、任务道具、噩梦缠身、可保留,员工电梯卡,,
投影图纸,金,0,出自先锋建筑设计师之手的废案图纸，能够将使用者与周围的空间投影至二维平面。,「建筑是平面和空间相结合的艺术……如果难以理解，不如换个角度试试看?」,异象委托「换个角度？」剧情获得,重要物品、特殊获取、便捷条、快捷道具,投影图纸,,
变维图纸,金,0,出自先锋建筑设计师之手的废案图纸，能够将让使用者在二维平面内旋转投影的视角。,「这难道不艺术吗？你们就不能换个角度观察一下？」,异象委托「换个角度？」剧情获得,重要物品、特殊获取、便捷条、快捷道具,变维图纸,,
捏造骰子,金,160环石/24失纬棋子/70迷迭棋子,可用于「标准棋盘」中进行投掷获得所需物品。,「茶子捏造谎言，茶子捏造真相。」,"失纬兑换
环石加工
活动获得
各类购买（环期赏令/礼包）",重要物品、可购买、消耗品、抽卡,捏造骰子,,
质实骰子,金,160环石/24失纬棋子/70迷迭棋子,可用于「限定棋盘」中进行投掷获得所需物品。,「谎言星罗棋布，见到你就是真实。」,"失纬兑换
环石加工
活动获得
各类购买（环期赏令/礼包）",重要物品、可购买、消耗品、抽卡,质实骰子,,
三重钥匙,金,24000/160环石/24失纬棋子/70迷迭棋子,用于参与弧盘研幕计划和兑换弧盘。,"
「其一为创造真理，其二为星的轨迹，其三为神的法则。」","环石加工
活动获得
各类购买（礼包）
猎人交易所
24000/48000/80000",重要物品、可购买、消耗品、抽卡,三重钥匙,,
小小麻雀,紫,100000啾啾雀球,使用后可替换牌面花样。,是你家的啾啾女仆～啾！有什么问题请尽情吩咐哦～,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,小小麻雀,,
牌背：粉,紫,80000啾啾雀球,使用后可替换牌被花样。,粉色的牌背。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,牌背：粉,,
桌布：粉,紫,100000啾啾雀球,使用后可替换桌布样式。,粉色的桌布。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,桌布：粉,,
碰：飞金,金,30000啾啾雀球,使用后可替换碰牌特效。,金玉满堂，财运连连。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,碰：飞金,,
胡：飞金,金,50000啾啾雀球,使用后可替换胡牌特效。,金玉满堂，财运连连。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,胡：飞金,,
立直：飞金,金,50000啾啾雀球,使用后可替换立直特效。,金玉满堂，财运连连。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,立直：飞金,,
碰：雪青,紫,30000啾啾雀球,使用后可替换碰牌特效。,紫气东来，福运连连。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,碰：雪青,,
胡：雪青,紫,50000啾啾雀球,使用后可替换胡牌特效。,紫气东来，福运连连。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,胡：雪青,,
立直：雪青,紫,50000啾啾雀球,使用后可替换立直特效。,紫气东来，福运连连。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,立直：雪青,,
桌布：番茄新发现,金,100000啾啾雀球,使用后可替换桌布样式。,安魂曲被抓拍到的一张照片。如果天上那个圆圆的东西是番茄的话，想必能做出好多好多番茄酱吧……,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,桌布：番茄新发现,,
立直棒：郁郁葱葱,金,80000啾啾雀球,使用后可替换立直棒。,郁郁葱葱。,「啾啾窠巢」中兑换,重要物品、可购买、功能解锁、麻将装扮,立直棒：郁郁葱葱,,
新手鱼竿,绿,0,"可用于钓鱼的鱼竿，其配备的鱼线耐久度较低。
鱼线耐久度：12",适于新手使用的木质鱼竿，因其较高的性价比，经常位居钓鱼爱好者网站中钓竿排行榜前十。,"月亮湾渔具商店
钓鱼点选渔具商店快捷购买",重要物品、可购买、功能解锁、钓鱼用具,新手鱼竿,,
中级鱼竿,蓝,1200鱼鳞币,"可用于钓鱼的鱼竿，其配备的鱼线耐久度中等。同时将略微提高上钩的鱼的重量。
鱼线耐久度：18",颇受钓鱼爱好者青睐的玻璃纤维制鱼竿，较高的材料强度使其更为耐用。,"月亮湾渔具商店
钓鱼点选渔具商店快捷购买",重要物品、可购买、功能解锁、钓鱼用具,中级鱼竿,,
高级鱼竿,紫,9000鱼鳞币,"可用于钓鱼的鱼竿，其配备的鱼线耐久度较高。同时将小幅提高上钩的鱼的重量。
鱼线耐久度：28",采用了碳纤维材料的钓竿，又称碳素竿，具有轻、坚实、抗拉强度高的特点，其酷炫的造型让无数钓鱼爱好者趋之若鹜。,"月亮湾渔具商店
钓鱼点选渔具商店快捷购买",重要物品、可购买、功能解锁、钓鱼用具,高级鱼竿,,
钓王鱼竿,金,42500鱼鳞币,"可用于钓鱼的鱼竿，其配备的鱼线耐久度极高。同时将较大提高上钩的鱼的重量。
鱼线耐久度：40",采用航空级别的钛合金材料，并施加镀金工艺的最高等级鱼竿，只有成为钓鱼界王者之人才有资格拥有它。,"月亮湾渔具商店
钓鱼点选渔具商店快捷购买",重要物品、可购买、功能解锁、钓鱼用具,钓王鱼竿,,
《星闻周刊》,金,5强效止疼片,知名娱乐周刊，每个在押人员的最爱。可用于交换珍贵的物品。,一成不变的日子里，每个人都在渴望新鲜东西，无论囚笼内外皆是如此。唯一不同的是，在高墙之内，一沓印满最新消息的铜版纸会被赋予远高于其售价的价值：谁能拥有它，谁就掌握了对「自由世界」的定义权——当所有人都对外界一无所知时，只有你对时下动态了如指掌。这或许帮不上你什么，但足以让你产生一种世界还没抛弃你的错觉。,"治安拘留所探索获取
「蜘蛛」商店",重要物品、特殊获取、玩法、代币、监狱、不可再生、消耗品、可保留,《星闻周刊》,,
坚如磐匙,紫,5强效止疼片,异常坚韧的汤匙。只需一击，即可粉碎一切砖墙。,异常坚韧的汤匙。只需一击，即可粉碎一切砖墙。,「蜘蛛」商店,重要物品、可购买、玩法、监狱、唯一,坚如磐匙,,
电波干扰器,紫,5强效止疼片,某种特殊的电子设备，能让使用者在探照灯的光芒下隐匿踪迹。,某种特殊的电子设备，能让使用者在探照灯的光芒下隐匿踪迹。,「蜘蛛」商店,重要物品、可购买、玩法、监狱、唯一,电波干扰器,,
《周刑Fantasy》,蓝,0,印刷拙劣的盗版漫画，可用于交换物品。,因盗版而获刑的人，在拘留所里也很难不重操旧业。这些盗版杂志虽然颜色诡异，还充斥着各种错别字，但至少让人们在铁窗内依旧可以追更。,治安拘留所探索获取,重要物品、可拾取、玩法、监狱、消耗品,《周刑Fantasy》,,
纸牌,蓝,0,一副旧纸牌，似乎多几张或少几张也无人在意。可用于交换物品。,拘留所里最有效的交际工具，也是不少人被关禁闭的直接原因。放轻松，这只是个游戏！,治安拘留所探索获取,重要物品、可拾取、玩法、监狱、消耗品,纸牌,,
肥皂,蓝,0,拘留所的全能清洁冠军，某些有洁癖的在押人员很需要。可用于交换物品。,干燥时像块石头，沾水后像条泥鳅。要是抓不牢，它转眼间就会溜进排水沟。,治安拘留所探索获取,重要物品、可拾取、玩法、监狱、消耗品,肥皂,,
浓缩消毒液,绿,0,某种高腐蚀性消毒剂的原液，浓度足以腐蚀金属。,这种消毒液通常需要稀释后使用，用以清除伤口的感染源。但如果未经稀释，直接使用，或许也能清除某些在押人员逃离路上的障碍。,治安拘留所探索获取,重要物品、特殊获取、玩法、监狱、消耗品,浓缩消毒液,,
浅绯祈-蓝色彼方-监狱,绿,0,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,治安拘留所探索获取,重要物品、特殊获取、玩法、监狱、消耗品,浅绯祈-蓝色彼方-监狱,,
「静息灵」,绿,0,「活化石」特制的麻痹药，注射后会让人陷入难以查明原因的深度昏迷。,只需一小滴，就足以让你的身体呈现出完美的「多脏器衰竭」假象，骗过拘留所医务室那些过时的检测器材。切勿过量使用，以免连海特洛市立医院都对你束手无策，让你在来得及苏醒前就被推进某些……对活人来说不太妙的地方。,治安拘留所探索获取,重要物品、特殊获取、玩法、监狱、消耗品,「静息灵」,,
偏门钥匙,绿,0,偏门的钥匙，可以打开拘留所偏门，通向拘留所外。,看上去有点年头的钥匙，绝大多数现役的管教都不清楚为什么这边会有扇门。,治安拘留所探索获取,重要物品、特殊获取、玩法、监狱、消耗品,偏门钥匙,,
岗楼钥匙,绿,0,治安所岗楼的钥匙，可以打开岗楼大门，通向楼顶。,这把小小的钥匙是通往治安拘留所最高处的唯一凭证。在这座拘留所里，高处就意味着视野，而视野则意味着自由——站在那里，高墙铁网外的荒野与海看起来触手可及。又或许，对你来说，它们真的触手可及。,治安拘留所探索获取,重要物品、特殊获取、玩法、监狱、消耗品,岗楼钥匙,,
汤匙,绿,0,食堂配发的金属汤匙，结实耐用，但多次用于挖掘后也可能断裂。,不少在押人员坚信：「得汤匙者得自由。」正因如此，食堂的汤匙常常不翼而飞，其流失率堪比医生的蓝色签字笔。但显然，真正靠一把汤匙逃出生天的例子寥寥无几。合理怀疑，默许人们持有汤匙，或许正是管教用来消磨在押人员出逃积极性的潜在策略之一。,治安拘留所探索获取,重要物品、特殊获取、玩法、监狱、消耗品,汤匙,,
床单,绿,0,海特洛市治安拘留所监室中配发的床单。撕裂床单，可以获得布条。,粗糙如砂纸，坚硬如像钢板。每个躺在上面的夜晚，它所造成的痛苦都会让你更深刻地反省自己的罪行。,治安拘留所探索获取,重要物品、可拾取、玩法、监狱、消耗品,床单,,
脏兮兮的破旧拘留服,绿,0,海特洛市治安拘留所在押人员配发的拘留服。,拘留所统一服装，版型合身、面料舒适、颜色亮眼，要是平常也能穿的话……,治安拘留所探索获取,重要物品、可拾取、玩法、监狱、消耗品,脏兮兮的破旧拘留服,,
混沌谜核,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，能与「高级权限卡.一」一起使用可以开启银行最为宏伟的金库大门。
能够带出银行，最多同时拥有2个。",原本似乎是某种器物的核心，如今却失去了最初的辉光。孤独的秘藏被看守在收藏室的深处，期盼着终有一日能被安置到正确的地方。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,混沌谜核,,
配电箱钥匙,绿,0,"「粉爪大劫案」玩法中可获得的基础品质道具，仅能使用一次，可以开启配电箱。
能够带出银行，最多同时拥有10个。",一把毫不起眼的铁灰色钥匙，用于开启配电箱。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,配电箱钥匙,,
高级权限卡·一,金,0,"「粉爪大劫案」玩法中与「混沌谜核」一起使用可以开启银行最为宏伟的金库大门，仅可使用一次。
能够带出银行，最多同时拥有3个。",管理员才能持有的高级权限卡，可以开启最大的金库大门。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,高级权限卡·一,,
高级权限卡·二,金,0,「粉爪大劫案」玩法中可以开启收藏楼层的管理员房间，仅可使用一次。,管理员才能持有的高级权限卡，可以开启最大的金库大门。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,高级权限卡·二,,
普通权限卡,蓝,0,"「粉爪大劫案」玩法中可获得的普通品质道具，能够多次使用，可以开启副行长办公室的电梯。
能够带出银行，最多同时拥有10个。",副行长的权限卡，可以用它乘坐副行长专用电梯。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,普通权限卡,,
收藏层直通卡,蓝,0,"「粉爪大劫案」玩法中可获得的普通品质道具，仅能使用一次，可以开启前往收藏层的电梯。
能够带出银行，最多同时拥有5个。",曾属于某个员工的办公直通卡，可以凭此卡直达收藏层。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,收藏层直通卡,,
金库直通卡,蓝,0,"「粉爪大劫案」玩法中可获得的普通品质道具，仅能使用一次，可以开启前往金库的电梯。
能够带出银行，最多同时拥有5个。",不知属于何人的金库直通卡，想要直达金库？就带上它吧。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库直通卡,,
临时访客卡,绿,0,"「粉爪大劫案」玩法中可获得的基础品质道具，仅能使用一次，可以开启某些临时上锁的电梯门。
能够带出银行，最多同时拥有10个。",银行专门为外来访客提供的身份卡，可以凭此卡开启楼层间的电梯。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,临时访客卡,,
金库门禁卡·一,紫,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启1号金库。
能够带出银行，最多同时拥有5个。",1号金库的门禁卡，可以打开银行的普通金库，里面通常会有零星的保险箱。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·一,,
金库门禁卡·二,紫,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启2号金库。
能够带出银行，最多同时拥有5个。",2号金库的门禁卡，可以打开经常会租赁给不同的客户的金库，里面通常会有一些保险箱。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·二,,
金库门禁卡·三,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启3号金库。
能够带出银行，最多同时拥有5个。",3号金库的门禁卡，可以打开隶属于银行高层人士的金库，说不定能在其中找到其他房间的门禁卡。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·三,,
金库门禁卡·四,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启4号金库。
能够带出银行，最多同时拥有5个。",4号金库的门禁卡，可以打开银行最常使用的金库，里面一般会有些零散的纸钞。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·四,,
金库门禁卡·五,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启5号金库。
能够带出银行，最多同时拥有5个。",5号金库的门禁卡，可以打开用以储蓄银行日常资金的金库，或许能在里面找到不少纸钞。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·五,,
金库门禁卡·六,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启6号金库。
能够带出银行，最多同时拥有5个。",6号金库的门禁卡，可以打开贮存有大量备用钱币的金库，或许能在里面找到数量可观的纸钞。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·六,,
金库门禁卡·七,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启7号金库。
能够带出银行，最多同时拥有5个。",7号金库的门禁卡，可以打开属于某个有名权贵的金库，据说其中珍藏有诸如青花花瓶之类的古董珍品。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·七,,
金库门禁卡·八,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启8号金库。
能够带出银行，最多同时拥有5个。",8号金库的门禁卡，可以打开存放着一位富豪收藏品的金库，据说其中珍藏有诸如青花花瓶之类的古董珍品。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·八,,
金库门禁卡·九,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启9号金库。
能够带出银行，最多同时拥有5个。",9号金库的门禁卡，可以打开不知属于何人的金库，传言里面珍藏有诸如凝华海露之类的名贵珠宝。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·九,,
金库门禁卡·十,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启10号金库。
能够带出银行，最多同时拥有5个。",10号金库的门禁卡，可以打开一座罕为人知的神秘金库，至今尚无人知晓里面藏有何等的珍奇。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,金库门禁卡·十,,
经理办公室门禁卡,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启办公层经理办公室的门。
能够带出银行，最多同时拥有2个。",凭此卡可以进入办公层经理办公室，据说可以从那里直接通往总经理的私人休息室。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,经理办公室门禁卡,,
经理储物间门禁卡,金,0,"「粉爪大劫案」玩法中可获得的珍稀品质道具，仅能使用一次，可以开启收藏层经理储物间的门。
能够带出银行，最多同时拥有2个。",凭此卡可以进入办公层经理储物间，以及储物间里的另一个神秘空间……？,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,经理储物间门禁卡,,
副经理办公室门禁卡,紫,0,"「粉爪大劫案」玩法中可获得的贵重品质道具，仅能使用一次，可以开启办公层副经理办公室的门。
能够带出银行，最多同时拥有3个。",凭此卡可以进入办公层副经理办公室，里面说不定会存放有一些保险箱之类的物件。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,副经理办公室门禁卡,,
配电间门禁卡,紫,0,"「粉爪大劫案」玩法中可获得的贵重品质道具，仅能使用一次，可以开启收藏层配电间的门。
能够带出银行，最多同时拥有3个。",凭此卡可以进入收藏层配电间……等等，你去那里做什么？,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,配电间门禁卡,,
监控室门禁卡,紫,0,"「粉爪大劫案」玩法中可获得的贵重品质道具，仅能使用一次，可以开启收藏层监控室的门。
能够带出银行，最多同时拥有3个。",凭此卡可以进入收藏层监控室，话说回来，监控室里有那么大一个保险箱是正常的吗……,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,监控室门禁卡,,
娱乐室门禁卡,蓝,0,"「粉爪大劫案」玩法中可获得的普通品质道具，仅能使用一次，可以开启办公层娱乐室的门。
能够带出银行，最多同时拥有5个。",凭此卡可以进入银行员工经常使用的娱乐室，稍微留心的话会发现似乎总有人在里面遗落一些东西……,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,娱乐室门禁卡,,
会议室门禁卡,蓝,0,"「粉爪大劫案」玩法中可获得的普通品质道具，仅能使用一次，可以开启收藏层会议室的门。
能够带出银行，最多同时拥有5个。",凭此卡可以进入收藏层角落的会议室，根据里面直通副行长办公室的电梯来看，这间会议室似乎是专属于某人的。,「粉爪大劫案」玩法获取,重要物品、可拾取、消耗品、玩法、粉爪大劫案,会议室门禁卡,,
