名称,稀有度,价格,用途,介绍,获取途径,标签,子类型,适用角色,pics
丰藻饵,紫,72鱼鳞币,配比精良的鱼饵，可以提升钓到以下海水鱼的概率：刺尾鱼、红刺尾鱼、粉鞍神仙鱼,"额外增添了海藻和鱼骨粉的鱼饵，价格不菲却非常畅销，有种说法是带有这种鱼饵的船会受到大海的庇佑，后经查证传说的源头来自某个饵料商家。
「上大鱼了！—— 诶我抄网呢？！」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,丰藻饵
骨渣饵,紫,72鱼鳞币,配比精良的鱼饵，可以提升钓到以下海水鱼的概率：红刺尾鱼、马鞍神仙鱼、青斑鱼,"与其他鱼饵相比，原料里含有一些体积较大的酥骨渣，似乎对一些大鱼来说是不可多得的美味佳肴。
「鱼饵越大鱼越大。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,骨渣饵
甘脂饵,紫,72鱼鳞币,配比精良的鱼饵，可以提升钓到以下海水鱼的概率：蓝斑鱼、鲸头鱼、纽紫鲸头鱼,"原料中加入了某些动物内脏的鱼饵，腥膻异常，使用时经常会沾染一身不太令人舒适的气味，因此事后请务必做好清洁。
「已经洗了五遍了，这衣服还有救吗……」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,甘脂饵
浮光饵,紫,72鱼鳞币,造价高昂的鱼饵，可以提升钓到以下海水鱼的概率：海星、星斑鱼,"在水下会发出微光的鱼饵，用以模拟游鱼在水下游动的姿态，很考验持杆者的微操水平。
「浮光跃金，静影沉璧。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,浮光饵
幽兰饵,紫,72鱼鳞币,造价高昂的鱼饵，可以提升钓到以下海水鱼的概率：金梭子、海中栗,"抛弃传统香辛料选择，采用幽兰为主料，此刻钓鱼钓的是心境。
「渔乃心声，非关人事，如空谷幽兰，不求赏识，乃足为渔。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,幽兰饵
芳泽饵,金,90鱼鳞币,造价高昂的鱼饵，可以提升钓到以下淡水鱼的概率：闪电鳗、金龙鱼,"据称是经过专门的实验室研发，在原料中添加了多种令人眼花缭乱的香料的鱼饵，价格自然令人咋舌，效果的话似乎比一般的鱼饵要好上那么一些吧……
「钓欲善其事必先利其饵。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,芳泽饵
金髓饵,金,90鱼鳞币,造价高昂的鱼饵，可以提升钓到以下海水鱼的概率：紫后神仙鱼、青后神仙鱼,"由新鲜鱼糜混合神秘香料制作而成的钓鱼香津，连历经风浪的老渔民都坚信，世界上没有任何一条鱼可以抵挡它的喷香美味。
「从现在开始，不是我想要的鱼，直接放生。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,金髓饵
沉香饵,金,90鱼鳞币,造价高昂的鱼饵，可以提升钓到以下海水鱼的概率：赤火神仙鱼、落日波纹,"只看名字就知道价值不菲的鱼饵，其中含有颇为珍贵的香精，相当适合作为礼物送给爱好钓鱼的人。
「都用上沉香饵了，再钓不到鱼一定是我的问题。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,沉香饵
玉引饵,金,90鱼鳞币,造价高昂的鱼饵，可以提升钓到以下海水鱼的概率：剧毒狮子鱼、骨鲷,"工艺复杂，用料繁多的高端饵料，除了贵几乎没有缺点，能否找到它的平替是钓鱼者圈子中一直以来讨论颇多的话题，但用过的人都知道有些东西贵自然有贵的道理。
「老兄，我敢打赌连竿饵能达到它差不多70%的效果。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,玉引饵
流霞饵,金,90鱼鳞币,造价高昂的鱼饵，可以提升钓到以下海水鱼的概率：条纹椰、黑夜蝠鲼,"当鱼饵入水时会飘散开来，如同夕阳斜照，流霞映江，因而得名。
「此刻，鱼饵不再是鱼饵，是凝聚着制作者心血的艺术品，至于钓上来的是不是鱼……」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,流霞饵
「橄榄枝」,紫,0,角色异能强化材料，用于提升角色的异能等级。,这场表演的结局由你来定，你可以宣布这是平安的一天，或者相反？,"胡迪尼的诡计舞台-小心鸽子
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,「橄榄枝」
白鸽的振翅,蓝,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是健康的白鸽，快飞吧，趁着翅膀还在。,"胡迪尼的诡计舞台-小心鸽子
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,白鸽的振翅
雏鸟的希冀,绿,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是羸弱的幼鸟，可怜的孩子，向你献上最真挚的祝福。,"开启材料自选箱
胡迪尼的诡计舞台-小心鸽子
猎人交易所",道具、可刷取、养成材料,异能升级,,雏鸟的希冀
「白蔷薇」,紫,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是白蔷薇上将，你的职责是消灭花园里的每一朵白蔷薇。,"胡迪尼的诡计舞台-扑克茶会
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,「白蔷薇」
尉官的谨慎,蓝,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是一名尉官，请遵循士兵守则。,"胡迪尼的诡计舞台-扑克茶会
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,尉官的谨慎
新兵的怯懦,绿,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是一个新兵，先从站岗开始吧。,"开启材料自选箱
胡迪尼的诡计舞台-扑克茶会
猎人交易所",道具、可刷取、养成材料,异能升级,,新兵的怯懦
「黑帽子」,紫,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是藏在游客中的绅士，摘下帽子，鞠躬致意，敬这场美妙的派对。,"胡迪尼的诡计舞台-惊喜派对
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,「黑帽子」
已知的倦怠,蓝,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的随机身份是一名常来的游客，你已经知道这些空盒子里都是什么了，但还是伸出了手。,"胡迪尼的诡计舞台-惊喜派对
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,已知的倦怠
初次的期许,绿,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的随机身份是一名游客，快来吧，盒子里什么都有。,"开启材料自选箱
胡迪尼的诡计舞台-惊喜派对
猎人交易所",道具、可刷取、养成材料,异能升级,,初次的期许
「心跳夜」,紫,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是庄家，面前那张牌是红心3或者所有牌。,"胡迪尼的诡计舞台-心电感应
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,「心跳夜」
信仰的共鸣,蓝,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是参与者，面前这张牌是红心3……恭喜，你猜对了。,"胡迪尼的诡计舞台-心电感应
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,信仰的共鸣
思维的同频,绿,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是参与者，面前这张牌是红心3……很抱歉，你猜错了。,"开启材料自选箱
胡迪尼的诡计舞台-心电感应
猎人交易所",道具、可刷取、养成材料,异能升级,,思维的同频
「第三人」,紫,0,角色异能强化材料，用于提升角色的异能等级。,这场表演中你将死去，然后成为第二个你。,"胡迪尼的诡计舞台-越狱艺术
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,「第三人」
倒悬的轻响,蓝,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是盲从者，你们一起屏息，试图从无声的水中听到锁舌的声音。,"胡迪尼的诡计舞台-越狱艺术
猎人交易所
合成",道具、可刷取、养成材料,异能升级,,倒悬的轻响
水波的迟疑,绿,0,角色异能强化材料，用于提升角色的异能等级。,这场表演你的身份是无辜的观众，是镣铐的提供者，是未来的凶手。,"开启材料自选箱
胡迪尼的诡计舞台-越狱艺术
猎人交易所",道具、可刷取、养成材料,异能升级,,水波的迟疑
金色苹果核,紫,0,弧盘突破材料，可以提升弧盘的突破等级。,一件杰作，现在它金光灿灿，足以引起纷争。,"泡影罐头工厂-苹果核
合成",道具、可刷取、养成材料,弧盘突破,,金色苹果核
银质苹果核,蓝,0,弧盘突破材料，可以提升弧盘的突破等级。,一件近乎完美的制品，连苹果核上的虫洞都栩栩如生。,"开启材料自选箱
泡影罐头工厂-苹果核
合成",道具、可刷取、养成材料,弧盘突破,,银质苹果核
铁质苹果核,绿,0,弧盘突破材料，可以提升弧盘的突破等级。,一件技艺精湛的复刻品，它甚至也会像真的苹果核一样，缓慢腐朽。,"开启材料自选箱
泡影罐头工厂-苹果核",道具、可刷取、养成材料,弧盘突破,,铁质苹果核
螺旋乐齐奏,紫,0,弧盘突破材料，可以提升弧盘的突破等级。,一曲或高昂或平淡的交响乐，现在指挥棒就在手中，挥动，演出开始！,"泡影罐头工厂-螺旋乐
合成",道具、可刷取、养成材料,弧盘突破,,螺旋乐齐奏
螺旋乐小节,蓝,0,弧盘突破材料，可以提升弧盘的突破等级。,一小节没有名字的音乐，一如那懵懂的情感，描述不清却足够真挚。,"开启材料自选箱
泡影罐头工厂-螺旋乐
合成",道具、可刷取、养成材料,弧盘突破,,螺旋乐小节
螺旋乐碎屑,绿,0,弧盘突破材料，可以提升弧盘的突破等级。,错落无法成节的音符，稚嫩的手落在小木琴上，是对新世界的一次伟大探索。,"开启材料自选箱
泡影罐头工厂-螺旋乐",道具、可刷取、养成材料,弧盘突破,,螺旋乐碎屑
罐装液态梦,紫,0,弧盘突破材料，可以提升弧盘的突破等级。,请允许我收回前言，正装——才是最完美的！,"泡影罐头工厂-液态梦
合成",道具、可刷取、养成材料,弧盘突破,,罐装液态梦
液态梦旅行装,蓝,0,弧盘突破材料，可以提升弧盘的突破等级。,至少便于携带是它的优点，记得把包装拆开刮干净。,"开启材料自选箱
泡影罐头工厂-液态梦
合成",道具、可刷取、养成材料,弧盘突破,,液态梦旅行装
液态梦试用装,绿,0,弧盘突破材料，可以提升弧盘的突破等级。,试用装总是比正装好使，这是常识。,"开启材料自选箱
泡影罐头工厂-液态梦",道具、可刷取、养成材料,弧盘突破,,液态梦试用装
特制冷点心,紫,0,弧盘突破材料，可以提升弧盘的突破等级。,私人订制限定款冰淇淋，保留装饰品的同时，似乎添加了一些特殊材料来丰富口感。,"泡影罐头工厂-冷点心
合成",道具、可刷取、养成材料,弧盘突破,,特制冷点心
原味冷点心,蓝,0,弧盘突破材料，可以提升弧盘的突破等级。,经典款香草味冰淇淋，有着几十年如一日的不变口感和线头装饰品。,"开启材料自选箱
泡影罐头工厂-冷点心
合成",道具、可刷取、养成材料,弧盘突破,,原味冷点心
无味冷点心,绿,0,弧盘突破材料，可以提升弧盘的突破等级。,已经有些融化的冰淇淋，吝啬的老板竟然用线头做装饰品。,"开启材料自选箱
泡影罐头工厂-冷点心",道具、可刷取、养成材料,弧盘突破,,无味冷点心
典藏级戏剧芯,紫,0,弧盘突破材料，可以提升弧盘的突破等级。,坐在最佳观影区的你，已经可以优雅地为每一场比赛鼓掌，哪怕那位演员刚刚忘词。,"泡影罐头工厂-戏剧芯
合成",道具、可刷取、养成材料,弧盘突破,,典藏级戏剧芯
大师级戏剧芯,蓝,0,弧盘突破材料，可以提升弧盘的突破等级。,在欣赏过众多的戏剧之后，你成为一名合格的戏剧大师，就这样。,"开启材料自选箱
泡影罐头工厂-戏剧芯
合成",道具、可刷取、养成材料,弧盘突破,,大师级戏剧芯
入门级戏剧芯,绿,0,弧盘突破材料，可以提升弧盘的突破等级。,这真是一场不能更糟糕的戏剧表演，在妆造劣质的演员开口前，你已经陷入了昏睡。,"开启材料自选箱
泡影罐头工厂-戏剧芯",道具、可刷取、养成材料,弧盘突破,,入门级戏剧芯
U-00NE,蓝,0,可以在「迈达斯弧盘工坊」兑换弧盘。,异象在被泯除后掉落的沙状物质，如果不快速收集的话很快便会消失。尽管拥有完全不合规的异象编号却没有任何有关该物质的记述，亦无法用语言描述它的特征，当人长时间注视该物质时甚至会因为涌入脑中的大量信息而感到眩晕。,"异象掉落
异象委托",道具、可刷取、代币,代币,,U-00NE
金萝卜币,金,0,可用于高级倒带。,黑兔子吃胡萝卜，灰兔子吃银萝卜，白兔子……白兔子是金萝卜。,兔子洞,道具、可刷取、重要道具、代币,代币、空幕卡带,,金萝卜币
银萝卜币,紫,0,可用于中级倒带。,灰兔子喜欢亮闪闪的胡萝卜，吃起来像月亮一样。,兔子洞,道具、可刷取、重要道具、代币,代币、空幕卡带,,银萝卜币
胡萝卜币,蓝,0,可用于初级倒带。,野生胡萝卜做的假币只会被黑兔子吃掉，就算是最杰出的雕刻大师也不行。,兔子洞,道具、可刷取、重要道具、代币,代币、空幕卡带,,胡萝卜币
无梦果核,蓝,6000/10失纬棋子,可用于提升角色的都市特技等级。,「在一千个斑斓梦境中，种下一千枚种子。」,"每日活跃
集市兑换
猎人交易所",道具、可购买、养成材料,异能突破,,无梦果核
善良脆鼠饼,蓝,0,能够转移巡哨鼠鼠注意力的饼干，在被通缉时食用，可降低500点通缉值，或可用于治安所商店购买商品。,能够转移巡哨鼠鼠注意力的饼干,"失物上交
解决城市违规行径事件",道具、特殊获取、代币,代币,,善良脆鼠饼
遗失的钱包,蓝,0,偶然捡到的遗失钱包，打开使用后获得方斯，不使用并上交治安所后能够降低通缉值。,拿走还是上交，这是个问题。,世界探索,道具、可拾取、其他,遗失物,,遗失的钱包
通勤公文包-掉落物,蓝,0,完全按照刻板印象制作出的皮质公文包，打开后会发现连里面的东西都符合对上班族的想象。,怎么拾到的您别问。,世界探索,道具、可拾取、其他,遗失物,,通勤公文包-掉落物
速食早餐袋,蓝,0,印有可爱图样的便利店早餐纸袋，除了热气腾腾的食物之外，有时说不定还装有其他奇妙的物件……,怎么拾到的您别问。,世界探索,道具、可拾取、其他,遗失物,,速食早餐袋
遗失的储物柜钥匙,蓝,0,无主的储物柜钥匙，可以用来打开城市里的「一格」储物柜格口。,一把钥匙能打开一个格口，拥有了钥匙，就拥有了格口。,世界探索,道具、可拾取、其他,遗失物,,遗失的储物柜钥匙
普通养成经验自选箱,蓝,0,"使用后可从资深猎人攻略*15、井屑达人*15、无彩染剂*15、甲硬币*35000中选择1个。
",自选箱,环期赏令,道具、特殊获取、养成材料、其他,自选箱、经验、异能突破、弧盘突破、空幕卡带,,普通养成经验自选箱
高级养成经验自选箱,紫,0,使用后可从特级猎人攻略*15、超屑井主*15、混沌染剂*15、甲硬币*150000中选择1个。,自选箱,环期赏令,道具、特殊获取、养成材料、其他,自选箱、经验、异能突破、弧盘突破、空幕卡带,,高级养成经验自选箱
弧光奇藏,金,0,其中装有迈达斯科技公司为异象猎人公会特别定制的「临界硬度」系列弧盘，开启后可自选一把强力弧盘。,自选箱,环期赏令,道具、特殊获取、其他,自选箱,,弧光奇藏
空幕「卡带」自选套装,金,0,使用后可从「失落光芒」「森林萤火之心」「真红：双生蝶」「迪亚波罗斯」「恶魔之血：诅咒」「街头拳王」中自选一件「卡带」。,自选箱,环期赏令,道具、特殊获取、其他,自选箱,,空幕「卡带」自选套装
普通角色异能自选箱,绿,0,使用后可从思维的同频*8、雏鸟的希冀*8、新兵的怯懦*8、初次的期许*8、水波的迟疑*8、铁制苹果核*8、螺旋乐碎屑*8、液态梦试用装*8、无味冷点心*8、入门级戏剧芯*8中选择1个。,自选箱,环期赏令,道具、特殊获取、养成材料、其他,自选箱、异能突破、弧盘突破,,普通角色异能自选箱
高级角色异能自选箱,蓝,0,使用后可从白鸽的振翅*10、厨官的谨慎*10、已知的倦怠*10、信仰的共鸣*10、倒悬的轻响*10、银质苹果核*10、螺旋乐小节*10、液态梦旅行装*10、原味冷点心*10、大师级戏剧芯*10中选择1个。,异象猎人公会为每位工会成员额外发放的高级物资箱，里面装有丰厚补给，以备不时之需。,环期赏令,道具、特殊获取、养成材料、其他,自选箱、异能突破、弧盘突破,,高级角色异能自选箱
初级异象材料自选箱,绿,500,使用后可从失落絮语、褪色掠影、模糊数符、悬想幻妄中自选一件。,自选箱,"环期赏令
猎人交易所",道具、可购买、养成材料、其他,自选箱、角色突破,,初级异象材料自选箱
初级弧盘突破材料自选箱,绿,1500,使用后可从铁制苹果核、螺旋乐碎屑、液态梦试用装、无味冷点心、入门级戏剧芯中自选一件。,自选箱,"环期赏令
猎人交易所",道具、可购买、养成材料、其他,自选箱、弧盘突破,,初级弧盘突破材料自选箱
初级角色异能材料自选箱,绿,1500,使用后可从雏鸟的希冀、新兵的怯懦、初次的期许、思维的同频、水波的迟疑中自选一件。,自选箱,"环期赏令
猎人交易所",道具、可购买、养成材料、其他,自选箱、异能升级,,初级角色异能材料自选箱
混沌染剂,紫,3000,弧盘升级材料，包含10000点弧盘经验，可以用于升级弧盘。,添加了某种特殊物质的弧盘染剂，能快速提升弧盘性能且无副作用，如果价格昂贵不算副作用的话。,"开启材料自选箱
胡迪尼的魔术舞台-万花筒
猎人交易所
世界探索",道具、可刷取、养成材料,经验、弧盘突破,,混沌染剂
无彩染剂,蓝,750,弧盘升级材料，包含2500点弧盘经验，可以用于升级弧盘。,经典款的弧盘染剂，让您的弧盘焕然一新，畅销多年的秘密在于从不公开畅销的秘密。,"胡迪尼的魔术舞台-万花筒
猎人交易所
世界探索",道具、可刷取、养成材料,经验、弧盘突破,,无彩染剂
淡色染剂,绿,150,弧盘升级材料，包含500点弧盘经验，可以用于升级弧盘。,稀释过后的弧盘染剂，可满足弧盘的日常保养需求，极其精妙的水和原料配比，至少比水有用。,"胡迪尼的魔术舞台-万花筒
猎人交易所
世界探索",道具、可刷取、养成材料,经验、弧盘突破,,淡色染剂
超屑井主,紫,3000,使用后提升空幕「驱动」或「卡带」20000点经验值。,「屑之上，我即井主。」,"开启材料自选箱
兔子洞
猎人交易所",道具、可刷取、养成材料,经验、空幕卡带,,超屑井主
井屑达人,蓝,750,使用后提升空幕「驱动」或「卡带」5000点经验值。,「啧，太勉强了吧。」,"开启材料自选箱
兔子洞
猎人交易所",道具、可刷取、养成材料,经验、空幕卡带,,井屑达人
井小屑,绿,150,使用后提升空幕「驱动」或「卡带」1000点经验值。,「带上我？也行吧，反正本屑不差这点屑。」,"兔子洞
猎人交易所",道具、可刷取、养成材料,经验、空幕卡带,,井小屑
水温调节器,紫,10000,鱼缸设备，能够自动调节水温，并保持在最适宜的温度。,嘘，温度刚好，鱼儿做梦会回到它出生的那条河流吗？,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",道具、可购买、鱼类道具,养鱼道具,,水温调节器
普通鱼食,紫,10,普通品质的鱼食，使用后能提升鱼类饱食度。,看来世界上又多了一个喂鱼放空的人呐。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",道具、可购买、鱼类道具,养鱼道具,,普通鱼食
高级鱼食,紫,30,品质极高的鱼食，使用后能提升鱼类饱食度。,生命的意义在于生命本身。此时此刻鱼存在，鱼缸也充满无限可能。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",道具、可购买、鱼类道具,养鱼道具,,高级鱼食
碱性凝露,紫,20,用于鱼缸水质管理，能够提升水的ph值。,放一点点就好，可别弄出苏打喷泉啦！,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",道具、可购买、鱼类道具,养鱼道具,,碱性凝露
酸性凝露,紫,20,用于鱼缸水质管理，能够降低水的ph值。,总觉得鱼缸里下了一场雨，鱼儿的鳞光也跟着亮了起来。,"月亮湾观赏鱼店（桥间地）
月亮湾观赏鱼店（绘空町）
月亮湾观赏鱼店（新赫兰德区）",道具、可购买、鱼类道具,养鱼道具,,酸性凝露
才能面包,紫,0,使用后提升球员才能,一片写满了排球技巧的面包，吃下去就能提升才能。小心吃撑。,排球之星赛事奖励,道具、特殊获取、养成材料,其他,,才能面包
